timestamp,region,az,link_type,node_id,peer_id,rtt_ms,jitter_ms,throughput_mbps,bytes_tx,bytes_rx,packet_loss,retransmits,congestion_window,queue_depth,dwcp_mode,network_tier,transport_type,hde_compression_ratio,hde_delta_hit_rate,amst_streams,amst_transfer_rate,error_budget_burn_rate,uptime_pct,failure_rate,consensus_latency_ms
2024-01-01 00:00:00,eu-west,az3,wan,60,40,3.5260509446680524,2.1773708696087377,100.17153813102718,306044,244468,0.0159421099470146,8,102,56,optimized,tier1,quic,3.2910927924473192,0.5167536598239141,8,44.73303674909235,0.0699174508063256,96.87270059423682,0.018682040923334926,1.8186571697567235
2024-01-01 00:01:00,ap-south,az3,metro,47,1,47.26091997525072,0.4683557372930155,135.58112668409518,652719,243981,0.0279165705788597,6,495,39,resilient,tier1,quic,1.576343760668599,0.8033130721256723,4,57.386962009616255,0.0462109024666516,99.75357153204958,0.016645604811570163,3.6436862836589623
2024-01-01 00:02:00,us-east,az3,wan,15,46,8.544787285315394,2.769664536212612,70.2386924228162,337164,622968,0.0478609420263827,4,187,26,optimized,tier1,udp,2.139701911365734,0.5772500944681249,7,45.96982346257834,0.0961373440744068,98.65996970905702,0.008807695625143002,5.223356682543618
2024-01-01 00:03:00,eu-west,az2,dc,63,11,4.078619962807446,0.0785538614648213,137.12413056492838,619391,71629,0.0042287030664191,7,941,27,resilient,tier2,udp,3.354033582513206,0.337609003114823,9,31.48749014648843,0.0647527641308655,97.99329242098518,0.0303633335050744,1.4718824530488848
2024-01-01 00:04:00,eu-west,az3,dc,28,39,11.9156284177016,1.009715279655084,94.24148795344934,83541,66891,0.010050385220457,6,955,64,resilient,tier3,tcp,2.084717694372637,0.372056602842277,6,46.04488779359671,0.0176184670769579,95.78009320221219,0.023831208025431445,6.399077658902491
2024-01-01 00:05:00,ap-south,az1,dc,20,18,4.978603775839473,4.810781242904371,83.66864120790316,907365,713101,0.0321946057292143,2,79,59,standard,tier3,quic,1.5472641875204185,0.7091206835393892,2,60.975312749028,0.0806679546147589,95.77997260168101,0.04328504961620019,2.549059538742234
2024-01-01 00:06:00,us-east,az3,dc,97,91,39.80090717055712,2.340982254876597,93.82965290717765,187927,679016,0.0339212914903479,8,71,13,standard,tier1,tcp,4.284232220499851,0.8156668008263206,7,63.43411585233566,0.0391872435791938,95.29041806084099,0.0016054790241029127,1.6694417807572923
2024-01-01 00:07:00,us-east,az1,metro,63,47,10.513211033011844,3.1509981426386933,94.43355506239809,916350,874344,0.008223537269563,3,269,55,standard,tier1,udp,3.4167017233706027,0.5167438732818572,4,46.296109416577984,0.0829968885339156,99.33088072887467,0.03219339637775632,3.970441867346267
2024-01-01 00:08:00,eu-west,az3,dc,33,74,2.3147857829697016,5.356452576206074,154.24388773795238,524515,891450,0.0403146506888274,4,627,59,resilient,tier2,tcp,4.13991375252469,0.5416842836331406,8,82.80470059574776,0.0487000128582781,98.00557505871605,0.03814744392557806,2.174443480732425
2024-01-01 00:09:00,us-west,az3,dc,36,21,27.63316622179418,2.9793275844519838,63.26201262591134,933852,125405,0.0464241399202179,6,88,8,resilient,tier3,quic,3.923671536738736,0.4234929755687646,8,37.29641545909247,0.0566820479251814,98.54036288898023,0.037974328459415355,2.609429622428535
