timestamp,region,az,link_type,node_id,peer_id,rtt_ms,jitter_ms,throughput_mbps,bytes_tx,bytes_rx,packet_loss,retransmits,congestion_window,queue_depth,dwcp_mode,network_tier,transport_type,time_of_day,day_of_week,bandwidth_mbps,latency_ms
1762232095,us-east-1,us-east-1b,metro,1069,2587,53.04109853517728,8.870128954726084,424.8357076505615,2922617192,2642833842,0.028774265259121686,33,883,60,turbo,Economy,udp,22,0,424.8357076505615,53.04109853517728
1762232155,us-east-1,us-east-1a,metro,1761,2662,55.18238123422642,9.786350480876902,393.08678494144067,2587018430,2605083245,0.0303982304323019,38,780,71,standard,Premium,quic,22,0,393.08678494144067,55.18238123422642
1762232215,us-east-1,us-east-1b,dc,1698,2467,53.702253047686185,6.50590077940652,432.3844269050345,3805418173,3433200286,0.03080684141764934,37,771,93,reliable,Standard,tcp,22,0,432.3844269050345,53.702253047686185
1762232275,us-east-1,us-east-1c,metro,1147,2553,55.92673266721084,6.531682440623263,476.15149282040113,3287796303,3487377583,0.026636182429948377,34,895,64,standard,Standard,tcp,22,0,476.15149282040113,55.92673266721084
1762232335,us-west-2,us-west-2b,wan,1577,2674,51.849296894374625,7.0820356368204145,388.2923312638331,2962033305,2840268592,0.030939536602454926,32,756,73,standard,Economy,tcp,22,0,388.2923312638331,51.849296894374625
1762232395,us-east-1,us-east-1a,wan,1456,2788,51.35360743480966,5.25480649837428,388.29315215254087,3405291435,3145058912,0.031124131583187543,37,760,67,standard,Economy,tcp,22,0,388.29315215254087,51.35360743480966
1762232455,eu-west-1,eu-west-1a,wan,1341,2063,54.82325712297161,7.833246465142613,527.1968317548652,4834977596,4843733741,0.024167065282589044,30,1080,48,reliable,Standard,tcp,23,0,527.1968317548652,54.82325712297161
1762232515,ap-southeast-1,ap-southeast-1a,wan,1016,2492,48.35637991873645,7.884798747762739,486.60792743714114,3671480223,3879436925,0.0259420599044803,27,813,74,turbo,Standard,quic,23,0,486.60792743714114,48.35637991873645
1762232575,us-east-1,us-east-1b,wan,1613,2431,47.44669964797726,5.7578124287318,424.76247168274807,3294834799,3552002107,0.028858197917423865,33,774,81,standard,Economy,tcp,23,0,424.76247168274807,47.44669964797726
1762232635,eu-west-1,eu-west-1c,dc,1811,2133,48.80614063156096,5.264426792491599,475.3641931587939,4053329640,4278375139,0.026346782193401957,30,920,59,standard,Economy,udp,23,0,475.3641931587939,48.80614063156096
